"CONTACT","CONTPHONE","CONTRACT","DIMENSIONS","DOL_NUM","EVENTPRO_LOT","FEATURETYPE","INSPECTS","LOC_NAME","LOT_LOC","MAP_PAGE","NAMELABEL","OBJECTID","ORIG_FID","PRODUCT","SUB","TICKETS","URL","VENDORTYPE","y","x"
"","","Bath Fitter","10 X 10","","COMMERCIAL034","Vendor","OTHER","Commercial Building","COM-34","Page 19","Bath Fitter",422,435,"Remodeling Bathroom","","","","",35.795128,-78.7071
"","","Teddy Mtn Stuff A Party","10 X 10","","COMMERCIAL035","Vendor","OTHER","Commercial Building","COM-35","Page 19","Teddy Mtn",423,436,"Teddy Mountain Animal Stuffing (Clothes & Accessories For The Animals), Face Painting, Balloon Sculpture & Glitter Tattoos. (Being A State Agency The Exposing Of Any Genital Region On A Male Or FEMAle Is Prohibited By Policy). ","","","","",35.795141,-78.70707
"","","Teddy Mtn Stuff A Party","10 X 10","","COMMERCIAL036","Vendor","OTHER","Commercial Building","COM-36","Page 19","Teddy Mtn",424,437,"Teddy Mountain Animal Stuffing (Clothes & Accessories For The Animals), Face Painting, Balloon Sculpture & Glitter Tattoos. (Being A State Agency The Exposing Of Any Genital Region On A Male Or FEMAle Is Prohibited By Policy). ","","","","",35.795116,-78.707055
"","","Carolina Tumbler","12 X 10","","COMMERCIAL004","Vendor","OTHER","Commercial Building","COM-4","Page 19","Carolina Tumbler",425,438,"Tervis Tumblers - College And All Designs & 	T-Shirts","","","","",35.794994,-78.70698
"","","Brr Enterprises LLC Dippin Dots","10 X 10","","COMMERCIAL019","Vendor","F&D","Commercial Building","COM-19","Page 19","Dippin Dots",426,439,"Dippin-Dots/Fresh Squeezed Lemonade/Orangeade/Solar Freeze, Smoothie Topped With Dots, Milk Shakes Peach, Pineapple Real Fruit, Shakes With Syrups, Verve Drinks, Hot Choc, Water & Coffee Frappe's.","","","","",35.794863,-78.707462
"","","Brr Enterprises LLC Dippin Dots","10 X 10","","COMMERCIAL020","Vendor","F&D","Commercial Building","COM-20","Page 19","Dippin Dots",427,440,"Dippin-Dots/Fresh Squeezed Lemonade/Orangeade/Solar Freeze, Smoothie Topped With Dots, Milk Shakes Peach, Pineapple Real Fruit, Shakes With Syrups, Verve Drinks, Hot Choc, Water & Coffee Frappe's.","","","","",35.794887,-78.707478
"","","Wyfl-Bbn","10 X 10","","COMMERCIAL002","Vendor","OTHER","Commercial Building","COM-2","Page 19","Wyfl",428,441,"Gratis Space For Promotion","","","","",35.795046,-78.707012
"","","Carolina Tumbler","10 X 10","","COMMERCIAL003","Vendor","OTHER","Commercial Building","COM-3","Page 19","Carolina Tumbler",429,442,"Tervis Tumblers & T-Shirts","","","","",35.795021,-78.706997
"","","Raleigh Flea Market LLC","35 X 28","","EDUCATION000","Vendor","WAKE","Education Building","ED-00","Page 18","Raleigh Flea Market  -- Fairgrounds Deli",430,443,"Food","","","","",35.794569,-78.708008
"","","Carolina Tumbler","10 X 10","","COMMERCIAL005","Vendor","OTHER","Commercial Building","COM-5","Page 19","Carolina Tumbler",431,444,"Tervis Tumblers - College And All Designs","","","","",35.794967,-78.706964
